UserName,QuestionID,Title,UserRespnse,Title,ExamID,Title,ResourcePrimaryName
s961302126,32091,در کدام روش مولکول ها فقط بر اساس وزن مولکولي از هم جدا مي شوند؟                                                                                        ,100,الکتروفورز حاوي SDS                      ,3136,میان ترم بیوشیمی فیزیک 99,بیوشیمی فیزیک گروه (۱)
s971302102,32091,در کدام روش مولکول ها فقط بر اساس وزن مولکولي از هم جدا مي شوند؟                                                                                        ,100,الکتروفورز حاوي SDS                      ,3136,میان ترم بیوشیمی فیزیک 99,بیوشیمی فیزیک گروه (۱)
s971302107,32091,در کدام روش مولکول ها فقط بر اساس وزن مولکولي از هم جدا مي شوند؟                                                                                        ,100,الکتروفورز حاوي SDS                      ,3136,میان ترم بیوشیمی فیزیک 99,بیوشیمی فیزیک گروه (۱)
s971302108,32091,در کدام روش مولکول ها فقط بر اساس وزن مولکولي از هم جدا مي شوند؟                                                                                        ,100,الکتروفورز حاوي SDS                      ,3136,میان ترم بیوشیمی فیزیک 99,بیوشیمی فیزیک گروه (۱)
s971302113,32091,در کدام روش مولکول ها فقط بر اساس وزن مولکولي از هم جدا مي شوند؟                                                                                        ,100,الکتروفورز حاوي SDS                      ,3136,میان ترم بیوشیمی فیزیک 99,بیوشیمی فیزیک گروه (۱)
s971302114,32091,در کدام روش مولکول ها فقط بر اساس وزن مولکولي از هم جدا مي شوند؟                                                                                        ,0,الکتروفورز حاوي SDS                      ,3136,میان ترم بیوشیمی فیزیک 99,بیوشیمی فیزیک گروه (۱)
s971302117,32091,در کدام روش مولکول ها فقط بر اساس وزن مولکولي از هم جدا مي شوند؟                                                                                        ,100,الکتروفورز حاوي SDS                      ,3136,میان ترم بیوشیمی فیزیک 99,بیوشیمی فیزیک گروه (۱)
s971302122,32091,در کدام روش مولکول ها فقط بر اساس وزن مولکولي از هم جدا مي شوند؟                                                                                        ,100,الکتروفورز حاوي SDS                      ,3136,میان ترم بیوشیمی فیزیک 99,بیوشیمی فیزیک گروه (۱)
s971302123,32091,در کدام روش مولکول ها فقط بر اساس وزن مولکولي از هم جدا مي شوند؟                                                                                        ,100,الکتروفورز حاوي SDS                      ,3136,میان ترم بیوشیمی فیزیک 99,بیوشیمی فیزیک گروه (۱)
s971302125,32091,در کدام روش مولکول ها فقط بر اساس وزن مولکولي از هم جدا مي شوند؟                                                                                        ,100,الکتروفورز حاوي SDS                      ,3136,میان ترم بیوشیمی فیزیک 99,بیوشیمی فیزیک گروه (۱)
s971302127,32091,در کدام روش مولکول ها فقط بر اساس وزن مولکولي از هم جدا مي شوند؟                                                                                        ,100,الکتروفورز حاوي SDS                      ,3136,میان ترم بیوشیمی فیزیک 99,بیوشیمی فیزیک گروه (۱)
s971302129,32091,در کدام روش مولکول ها فقط بر اساس وزن مولکولي از هم جدا مي شوند؟                                                                                        ,100,الکتروفورز حاوي SDS                      ,3136,میان ترم بیوشیمی فیزیک 99,بیوشیمی فیزیک گروه (۱)
s961302126,32092,کدام عامل باعث پهن شدن پيکها در کروماتوگرافي نمي شود؟,10,ارتفاع ستون کروماتوگرافي,3136,میان ترم بیوشیمی فیزیک 99,بیوشیمی فیزیک گروه (۱)
s971302102,32092,کدام عامل باعث پهن شدن پيکها در کروماتوگرافي نمي شود؟,1,ارتفاع ستون کروماتوگرافي,3136,میان ترم بیوشیمی فیزیک 99,بیوشیمی فیزیک گروه (۱)
s971302107,32092,کدام عامل باعث پهن شدن پيکها در کروماتوگرافي نمي شود؟,10,ارتفاع ستون کروماتوگرافي,3136,میان ترم بیوشیمی فیزیک 99,بیوشیمی فیزیک گروه (۱)
s971302108,32092,کدام عامل باعث پهن شدن پيکها در کروماتوگرافي نمي شود؟,1,ارتفاع ستون کروماتوگرافي,3136,میان ترم بیوشیمی فیزیک 99,بیوشیمی فیزیک گروه (۱)
s971302113,32092,کدام عامل باعث پهن شدن پيکها در کروماتوگرافي نمي شود؟,100,ارتفاع ستون کروماتوگرافي,3136,میان ترم بیوشیمی فیزیک 99,بیوشیمی فیزیک گروه (۱)
s971302114,32092,کدام عامل باعث پهن شدن پيکها در کروماتوگرافي نمي شود؟,0,ارتفاع ستون کروماتوگرافي,3136,میان ترم بیوشیمی فیزیک 99,بیوشیمی فیزیک گروه (۱)
s971302117,32092,کدام عامل باعث پهن شدن پيکها در کروماتوگرافي نمي شود؟,1,ارتفاع ستون کروماتوگرافي,3136,میان ترم بیوشیمی فیزیک 99,بیوشیمی فیزیک گروه (۱)
s971302122,32092,کدام عامل باعث پهن شدن پيکها در کروماتوگرافي نمي شود؟,100,ارتفاع ستون کروماتوگرافي,3136,میان ترم بیوشیمی فیزیک 99,بیوشیمی فیزیک گروه (۱)
s971302123,32092,کدام عامل باعث پهن شدن پيکها در کروماتوگرافي نمي شود؟,10,ارتفاع ستون کروماتوگرافي,3136,میان ترم بیوشیمی فیزیک 99,بیوشیمی فیزیک گروه (۱)
s971302125,32092,کدام عامل باعث پهن شدن پيکها در کروماتوگرافي نمي شود؟,100,ارتفاع ستون کروماتوگرافي,3136,میان ترم بیوشیمی فیزیک 99,بیوشیمی فیزیک گروه (۱)
s971302127,32092,کدام عامل باعث پهن شدن پيکها در کروماتوگرافي نمي شود؟,1,ارتفاع ستون کروماتوگرافي,3136,میان ترم بیوشیمی فیزیک 99,بیوشیمی فیزیک گروه (۱)
s971302129,32092,کدام عامل باعث پهن شدن پيکها در کروماتوگرافي نمي شود؟,1,ارتفاع ستون کروماتوگرافي,3136,میان ترم بیوشیمی فیزیک 99,بیوشیمی فیزیک گروه (۱)
s961302126,32094,کدام نوع ژل در ژل کروماتوگرافي استفاده نمي شود؟                                                                                                                   ,1000,اکريل آميد                        ,3136,میان ترم بیوشیمی فیزیک 99,بیوشیمی فیزیک گروه (۱)
s971302102,32094,کدام نوع ژل در ژل کروماتوگرافي استفاده نمي شود؟                                                                                                                   ,1000,اکريل آميد                        ,3136,میان ترم بیوشیمی فیزیک 99,بیوشیمی فیزیک گروه (۱)
s971302107,32094,کدام نوع ژل در ژل کروماتوگرافي استفاده نمي شود؟                                                                                                                   ,1000,اکريل آميد                        ,3136,میان ترم بیوشیمی فیزیک 99,بیوشیمی فیزیک گروه (۱)
s971302108,32094,کدام نوع ژل در ژل کروماتوگرافي استفاده نمي شود؟                                                                                                                   ,1000,اکريل آميد                        ,3136,میان ترم بیوشیمی فیزیک 99,بیوشیمی فیزیک گروه (۱)
s971302113,32094,کدام نوع ژل در ژل کروماتوگرافي استفاده نمي شود؟                                                                                                                   ,1000,اکريل آميد                        ,3136,میان ترم بیوشیمی فیزیک 99,بیوشیمی فیزیک گروه (۱)
s971302114,32094,کدام نوع ژل در ژل کروماتوگرافي استفاده نمي شود؟                                                                                                                   ,1000,اکريل آميد                        ,3136,میان ترم بیوشیمی فیزیک 99,بیوشیمی فیزیک گروه (۱)
s971302117,32094,کدام نوع ژل در ژل کروماتوگرافي استفاده نمي شود؟                                                                                                                   ,1000,اکريل آميد                        ,3136,میان ترم بیوشیمی فیزیک 99,بیوشیمی فیزیک گروه (۱)
s971302122,32094,کدام نوع ژل در ژل کروماتوگرافي استفاده نمي شود؟                                                                                                                   ,1000,اکريل آميد                        ,3136,میان ترم بیوشیمی فیزیک 99,بیوشیمی فیزیک گروه (۱)
s971302123,32094,کدام نوع ژل در ژل کروماتوگرافي استفاده نمي شود؟                                                                                                                   ,1000,اکريل آميد                        ,3136,میان ترم بیوشیمی فیزیک 99,بیوشیمی فیزیک گروه (۱)
s971302125,32094,کدام نوع ژل در ژل کروماتوگرافي استفاده نمي شود؟                                                                                                                   ,1000,اکريل آميد                        ,3136,میان ترم بیوشیمی فیزیک 99,بیوشیمی فیزیک گروه (۱)
s971302127,32094,کدام نوع ژل در ژل کروماتوگرافي استفاده نمي شود؟                                                                                                                   ,1000,اکريل آميد                        ,3136,میان ترم بیوشیمی فیزیک 99,بیوشیمی فیزیک گروه (۱)
s971302129,32094,کدام نوع ژل در ژل کروماتوگرافي استفاده نمي شود؟                                                                                                                   ,1000,اکريل آميد                        ,3136,میان ترم بیوشیمی فیزیک 99,بیوشیمی فیزیک گروه (۱)
s961302126,32095,هيدروفوبيسيتي با قدرت يوني چه ارتباطي دارد ؟                                                                                                                           ,1000,رابطه مستقيم                ,3136,میان ترم بیوشیمی فیزیک 99,بیوشیمی فیزیک گروه (۱)
s971302102,32095,هيدروفوبيسيتي با قدرت يوني چه ارتباطي دارد ؟                                                                                                                           ,1000,رابطه مستقيم                ,3136,میان ترم بیوشیمی فیزیک 99,بیوشیمی فیزیک گروه (۱)
s971302107,32095,هيدروفوبيسيتي با قدرت يوني چه ارتباطي دارد ؟                                                                                                                           ,1000,رابطه مستقيم                ,3136,میان ترم بیوشیمی فیزیک 99,بیوشیمی فیزیک گروه (۱)
s971302108,32095,هيدروفوبيسيتي با قدرت يوني چه ارتباطي دارد ؟                                                                                                                           ,1000,رابطه مستقيم                ,3136,میان ترم بیوشیمی فیزیک 99,بیوشیمی فیزیک گروه (۱)
s971302113,32095,هيدروفوبيسيتي با قدرت يوني چه ارتباطي دارد ؟                                                                                                                           ,1000,رابطه مستقيم                ,3136,میان ترم بیوشیمی فیزیک 99,بیوشیمی فیزیک گروه (۱)
s971302114,32095,هيدروفوبيسيتي با قدرت يوني چه ارتباطي دارد ؟                                                                                                                           ,0,رابطه مستقيم                ,3136,میان ترم بیوشیمی فیزیک 99,بیوشیمی فیزیک گروه (۱)
s971302117,32095,هيدروفوبيسيتي با قدرت يوني چه ارتباطي دارد ؟                                                                                                                           ,1000,رابطه مستقيم                ,3136,میان ترم بیوشیمی فیزیک 99,بیوشیمی فیزیک گروه (۱)
s971302122,32095,هيدروفوبيسيتي با قدرت يوني چه ارتباطي دارد ؟                                                                                                                           ,100,رابطه مستقيم                ,3136,میان ترم بیوشیمی فیزیک 99,بیوشیمی فیزیک گروه (۱)
s971302123,32095,هيدروفوبيسيتي با قدرت يوني چه ارتباطي دارد ؟                                                                                                                           ,1000,رابطه مستقيم                ,3136,میان ترم بیوشیمی فیزیک 99,بیوشیمی فیزیک گروه (۱)
